S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
188,ITQ20170187,ITQ,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,28/7/2017,AlphaPro Facility Solutions," $84,274.00 "
189,ITQ20170188,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,29/7/2017,SilverTech Facilities Masters," $55,618.00 "
190,ITQ20170189,ITQ,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,29/7/2017,HorizonHarbor Property Services," $61,908.00 "
191,ITQ20170190,ITQ,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,29/7/2017,AlphaStone Property Support," $80,910.00 "
192,ITQ20170191,ITQ,Office of Public Safety and Emergency Management,Cleaning supplies and consumables procurement and management.,29/7/2017,TruePro Building Experts," $96,931.00 "
193,ITQ20170192,ITQ,National Commission for Space Exploration,Building automation and smart technology integration.,30/7/2017,GreenCrest Facilities Group," $90,728.00 "
194,ITQ20170193,ITQ,National Institute of Scientific Advancement,Emergency response and disaster recovery planning.,1/8/2017,InfiniteGuard Building Care," $63,429.00 "
195,ITQ20170194,ITQ,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,2/8/2017,SilverTech Facilities Masters," $51,085.00 "
196,ITQ20170195,ITQ,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,3/8/2017,CleanReach Facility Experts," $15,322.00 "
197,ITQ20170196,ITQ,Commission for Ethical Governance,Energy-efficient systems and consumption monitoring.,3/8/2017,GrandPro Facilities Support," $30,360.00 "
198,ITQ20170197,ITQ,Commission for Ethical Governance,Furniture and equipment maintenance and inventory tracking.,4/8/2017,TrueNorth Facility Solutions," $30,922.00 "
199,ITQ20170198,ITQ,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,5/8/2017,SafeHarbor Facilities Group," $38,207.00 "
200,ITQ20170199,ITQ,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,6/8/2017,SafeHaven Maintenance," $92,610.00 "
201,ITQ20170200,ITQ,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,7/8/2017,GreenLine Building Experts," $10,959.00 "
202,ITQ20170201,ITQ,National Institute of Scientific Advancement,Energy-efficient systems and consumption monitoring.,8/8/2017,AlphaStone Property Support," $98,259.00 "
203,ITQ20170202,ITQ,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,10/8/2017,TrueNorth Facility Solutions," $93,413.00 "
204,ITQ20170203,ITQ,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,14/8/2017,InfiniteSpace Building Solutions," $42,935.00 "
205,ITQ20170204,ITQ,Department of Energy Conservation and Sustainability,Renovation and remodeling project management.,16/8/2017,TrueNorth Facility Solutions," $20,698.00 "
206,ITQ20170205,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,16/8/2017,HighPoint Property Care," $93,112.00 "
207,ITQ20170206,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,19/8/2017,TruePro Building Experts," $99,137.00 "
208,ITQ20170207,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,21/8/2017,ApexGuard Facility Services," $91,000.00 "
209,ITQ20170208,ITQ,National Commission for Space Exploration,Pest control services for a pest-free environment.,25/8/2017,SecureSpace Management," $53,093.00 "
210,ITQ20170209,ITQ,Ministry of Strategic Economic Planning,HVAC system maintenance and climate control optimization.,26/8/2017,TrustEdge Building Maintenance," $17,025.00 "
211,ITQ20170210,ITQ,National Commission for Space Exploration,Comprehensive janitorial services and cleanliness maintenance.,26/8/2017,BlueSail Property Experts," $26,562.00 "
212,ITQ20170211,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,27/8/2017,SecureReach Property Care," $97,709.00 "
213,ITQ20170212,ITQ,Commission for Ethical Governance,Parking management and traffic control solutions.,29/8/2017,SafeEdge Property Care," $14,861.00 "
214,ITQ20170213,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,29/8/2017,UrbanEagle Maintenance," $52,858.00 "
215,ITQ20170214,ITQ,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,30/8/2017,SafeHarbor Facilities Group," $76,394.00 "
216,ITQ20170215,ITQ,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,31/8/2017,AlphaStone Property Support," $30,633.00 "
217,ITQ20170216,ITQ,Agency for Cultural Preservation and Heritage,Emergency response and disaster recovery planning.,31/8/2017,SilverTech Facilities Masters," $78,973.00 "
218,ITQ20170217,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,1/9/2017,EliteTech Property Support," $10,903.00 "
219,ITQ20170218,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,1/9/2017,SecureTech Building Solutions," $95,047.00 "
220,ITQ20170219,ITQ,Institute for Social Justice and Equality,Building automation and smart technology integration.,2/9/2017,BlueSky Property Care," $38,001.00 "
221,ITQ20170220,ITQ,Commission for Ethical Governance,Health and safety compliance management and training.,4/9/2017,InfiniteSpace Building Solutions," $27,475.00 "
222,ITQ20170221,ITQ,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,4/9/2017,HorizonView Property Management," $60,669.00 "
223,ITQ20170222,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,5/9/2017,GoldenGate Facility Masters," $81,683.00 "
224,ITQ20170223,ITQ,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,7/9/2017,GoldenReach Property Management," $99,583.00 "
225,ITQ20170224,ITQ,Federal Agency for Environmental Protection,Emergency response and disaster recovery planning.,11/9/2017,StarCrest Facility Services," $35,634.00 "
226,ITQ20170225,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,20/9/2017,SilverReach Facility Services," $39,669.00 "
227,ITQ20170226,ITQ,National Institute of Scientific Advancement,Renovation and remodeling project management.,21/9/2017,SkyHigh Property Management," $77,707.00 "
228,ITQ20170227,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,21/9/2017,SafeHarbor Facilities Group," $84,455.00 "
229,ITQ20170228,ITQ,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,21/9/2017,TrueView Management," $98,852.00 "
230,ITQ20170229,ITQ,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,22/9/2017,SafeReach Property Solutions," $55,378.00 "
231,ITQ20170230,ITQ,Bureau of Urban Development and Infrastructure,Pest control services for a pest-free environment.,24/9/2017,InfiniteGuard Building Care," $68,420.00 "
232,ITQ20170231,ITQ,Department of Advanced Technological Research,24/7 security and access control management.,25/9/2017,SilverTech Facilities Masters," $61,894.00 "
233,ITQ20170232,ITQ,Department of Advanced Technological Research,Tenant communication and customer service assistance.,25/9/2017,TrustPro Building Maintenance," $69,643.00 "
234,ITQ20170233,ITQ,National Commission for Space Exploration,Parking management and traffic control solutions.,26/9/2017,SecureSpace Management," $84,172.00 "
235,ITQ20170234,ITQ,Department of Energy Conservation and Sustainability,Health and safety compliance management and training.,27/9/2017,AlphaCrest Property Support," $36,786.00 "
236,ITQ20170235,ITQ,Commission for Ethical Governance,Building maintenance and repairs.,27/9/2017,CleanReach Facility Experts," $72,507.00 "
237,ITQ20170236,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,1/10/2017,UrbanReach Facility Support," $13,417.00 "
238,ITQ20170237,ITQ,National Commission for Space Exploration,Space planning and utilization optimization strategies.,1/10/2017,EliteEdge Facilities Group," $40,152.00 "
239,ITQ20170238,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,1/10/2017,TrustEdge Building Maintenance," $94,295.00 "
240,ITQ20170239,ITQ,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,3/10/2017,CleanHarbor Facility Care," $57,067.00 "
241,ITQ20170240,ITQ,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,3/10/2017,HorizonHarbor Property Services," $74,527.00 "
242,ITQ20170241,ITQ,Commission for Ethical Governance,Waste management and recycling program implementation.,6/10/2017,InfiniteGuard Building Care," $14,609.00 "
243,ITQ20170242,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,6/10/2017,BlueBreeze Facility Solutions," $77,759.00 "
244,ITQ20170243,ITQ,Institute for Social Justice and Equality,Waste management and recycling program implementation.,6/10/2017,SkyStone Property Solutions," $85,157.00 "
245,ITQ20170244,ITQ,Institute for Social Justice and Equality,Health and safety compliance management and training.,8/10/2017,AlphaPro Facility Solutions," $59,197.00 "
246,ITQ20170245,ITQ,Commission for Ethical Governance,Fire safety system installation and maintenance.,9/10/2017,SilverLine Facility Experts," $23,423.00 "
247,ITQ20170246,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,9/10/2017,TruePro Building Experts," $35,389.00 "
248,ITQ20170247,ITQ,Department of Advanced Technological Research,Renovation and remodeling project management.,9/10/2017,BlueSky Property Care," $83,377.00 "
249,ITQ20170248,ITQ,Commission for Ethical Governance,24/7 security and access control management.,10/10/2017,SafeHarbor Facilities Group," $62,826.00 "
250,ITQ20170249,ITQ,Department of Advanced Technological Research,24/7 security and access control management.,11/10/2017,GreenPrime Facilities Group," $50,529.00 "
251,ITQ20170250,ITQ,National Cybersecurity Task Force,Comprehensive janitorial services and cleanliness maintenance.,12/10/2017,BlueSky Property Care," $89,180.00 "
252,ITQ20170251,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,18/10/2017,BlueCrest Facility Support," $70,332.00 "
253,ITQ20170252,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,22/10/2017,AlphaPro Facility Solutions," $72,941.00 "
254,ITQ20170253,ITQ,Bureau of Urban Development and Infrastructure,HVAC system maintenance and climate control optimization.,23/10/2017,GrandTech Building Solutions," $34,355.00 "
255,ITQ20170254,ITQ,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,24/10/2017,EverPro Property Support," $47,128.00 "
256,ITQ20170255,ITQ,Department of Advanced Technological Research,Energy-efficient systems and consumption monitoring.,24/10/2017,AlphaCrest Property Support," $61,961.00 "
257,ITQ20170256,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,25/10/2017,SkyHigh Property Management," $93,152.00 "
258,ITQ20170257,ITQ,National Cybersecurity Task Force,Health and safety compliance management and training.,27/10/2017,SwiftSail Building Solutions," $97,788.00 "
259,ITQ20170258,ITQ,Department of Advanced Technological Research,Renovation and remodeling project management.,28/10/2017,EverGreen Property Support," $62,589.00 "
260,ITQ20170259,ITQ,Commission for Ethical Governance,Waste management and recycling program implementation.,29/10/2017,SafeHaven Maintenance," $38,674.00 "
261,ITQ20170260,ITQ,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,30/10/2017,FreshWave Property Support," $71,778.00 "
262,ITQ20170261,ITQ,Department of Advanced Technological Research,Pest control services for a pest-free environment.,1/11/2017,StarStone Facility Services," $9,072.00 "
263,ITQ20170262,ITQ,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,7/11/2017,TruePro Building Experts," $21,371.00 "
264,ITQ20170263,ITQ,Bureau of National Security and Intelligence,Expert landscaping and groundskeeping solutions.,9/11/2017,Xtreme Maintenance," $35,217.00 "
265,ITQ20170264,ITQ,Institute for Social Justice and Equality,Renovation and remodeling project management.,9/11/2017,GoldenTech Maintenance," $43,789.00 "
