S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
205,ITQ20170204,ITQ,Department of Energy Conservation and Sustainability,Renovation and remodeling project management.,2017-08-16,TrueNorth Facility Solutions,20698
206,ITQ20170205,ITQ,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2017-08-16,HighPoint Property Care,93112
207,ITQ20170206,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2017-08-19,TruePro Building Experts,99137
208,ITQ20170207,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2017-08-21,ApexGuard Facility Services,91000
209,ITQ20170208,ITQ,National Commission for Space Exploration,Pest control services for a pest-free environment.,2017-08-25,SecureSpace Management,53093
210,ITQ20170209,ITQ,Ministry of Strategic Economic Planning,HVAC system maintenance and climate control optimization.,2017-08-26,TrustEdge Building Maintenance,17025
211,ITQ20170210,ITQ,National Commission for Space Exploration,Comprehensive janitorial services and cleanliness maintenance.,2017-08-26,BlueSail Property Experts,26562
212,ITQ20170211,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,2017-08-27,SecureReach Property Care,97709
213,ITQ20170212,ITQ,Commission for Ethical Governance,Parking management and traffic control solutions.,2017-08-29,SafeEdge Property Care,14861
214,ITQ20170213,ITQ,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2017-08-29,UrbanEagle Maintenance,52858
215,ITQ20170214,ITQ,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,2017-08-30,SafeHarbor Facilities Group,76394
216,ITQ20170215,ITQ,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,2017-08-31,AlphaStone Property Support,30633
217,ITQ20170216,ITQ,Agency for Cultural Preservation and Heritage,Emergency response and disaster recovery planning.,2017-08-31,SilverTech Facilities Masters,78973
218,ITQ20170217,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,2017-09-01,EliteTech Property Support,10903
219,ITQ20170218,ITQ,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,2017-09-01,SecureTech Building Solutions,95047
220,ITQ20170219,ITQ,Institute for Social Justice and Equality,Building automation and smart technology integration.,2017-09-02,BlueSky Property Care,38001
221,ITQ20170220,ITQ,Commission for Ethical Governance,Health and safety compliance management and training.,2017-09-04,InfiniteSpace Building Solutions,27475
222,ITQ20170221,ITQ,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2017-09-04,HorizonView Property Management,60669
223,ITQ20170222,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2017-09-05,GoldenGate Facility Masters,81683
224,ITQ20170223,ITQ,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,2017-09-07,GoldenReach Property Management,99583
225,ITQ20170224,ITQ,Federal Agency for Environmental Protection,Emergency response and disaster recovery planning.,2017-09-11,StarCrest Facility Services,35634
226,ITQ20170225,ITQ,Institute for Social Justice and Equality,24/7 security and access control management.,2017-09-20,SilverReach Facility Services,39669
227,ITQ20170226,ITQ,National Institute of Scientific Advancement,Renovation and remodeling project management.,2017-09-21,SkyHigh Property Management,77707
228,ITQ20170227,ITQ,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2017-09-21,SafeHarbor Facilities Group,84455
229,ITQ20170228,ITQ,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,2017-09-21,TrueView Management,98852
230,ITQ20170229,ITQ,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2017-09-22,SafeReach Property Solutions,55378
231,ITQ20170230,ITQ,Bureau of Urban Development and Infrastructure,Pest control services for a pest-free environment.,2017-09-24,InfiniteGuard Building Care,68420
232,ITQ20170231,ITQ,Department of Advanced Technological Research,24/7 security and access control management.,2017-09-25,SilverTech Facilities Masters,61894
233,ITQ20170232,ITQ,Department of Advanced Technological Research,Tenant communication and customer service assistance.,2017-09-25,TrustPro Building Maintenance,69643
234,ITQ20170233,ITQ,National Commission for Space Exploration,Parking management and traffic control solutions.,2017-09-26,SecureSpace Management,84172
235,ITQ20170234,ITQ,Department of Energy Conservation and Sustainability,Health and safety compliance management and training.,2017-09-27,AlphaCrest Property Support,36786
236,ITQ20170235,ITQ,Commission for Ethical Governance,Building maintenance and repairs.,2017-09-27,CleanReach Facility Experts,72507
237,ITQ20170236,ITQ,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2017-10-01,UrbanReach Facility Support,13417
238,ITQ20170237,ITQ,National Commission for Space Exploration,Space planning and utilization optimization strategies.,2017-10-01,EliteEdge Facilities Group,40152
239,ITQ20170238,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2017-10-01,TrustEdge Building Maintenance,94295
240,ITQ20170239,ITQ,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,2017-10-03,CleanHarbor Facility Care,57067
241,ITQ20170240,ITQ,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,2017-10-03,HorizonHarbor Property Services,74527
242,ITQ20170241,ITQ,Commission for Ethical Governance,Waste management and recycling program implementation.,2017-10-06,InfiniteGuard Building Care,14609
243,ITQ20170242,ITQ,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2017-10-06,BlueBreeze Facility Solutions,77759
244,ITQ20170243,ITQ,Institute for Social Justice and Equality,Waste management and recycling program implementation.,2017-10-06,SkyStone Property Solutions,85157
245,ITQ20170244,ITQ,Institute for Social Justice and Equality,Health and safety compliance management and training.,2017-10-08,AlphaPro Facility Solutions,59197
246,ITQ20170245,ITQ,Commission for Ethical Governance,Fire safety system installation and maintenance.,2017-10-09,SilverLine Facility Experts,23423
247,ITQ20170246,ITQ,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2017-10-09,TruePro Building Experts,35389
248,ITQ20170247,ITQ,Department of Advanced Technological Research,Renovation and remodeling project management.,2017-10-09,BlueSky Property Care,83377
249,ITQ20170248,ITQ,Commission for Ethical Governance,24/7 security and access control management.,2017-10-10,SafeHarbor Facilities Group,62826
250,ITQ20170249,ITQ,Department of Advanced Technological Research,24/7 security and access control management.,2017-10-11,GreenPrime Facilities Group,50529
251,ITQ20170250,ITQ,National Cybersecurity Task Force,Comprehensive janitorial services and cleanliness maintenance.,2017-10-12,BlueSky Property Care,89180
252,ITQ20170251,ITQ,Commission for Ethical Governance,Tenant communication and customer service assistance.,2017-10-18,BlueCrest Facility Support,70332
253,ITQ20170252,ITQ,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2017-10-22,AlphaPro Facility Solutions,72941
254,ITQ20170253,ITQ,Bureau of Urban Development and Infrastructure,HVAC system maintenance and climate control optimization.,2017-10-23,GrandTech Building Solutions,34355
255,ITQ20170254,ITQ,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,2017-10-24,EverPro Property Support,47128
256,ITQ20170255,ITQ,Department of Advanced Technological Research,Energy-efficient systems and consumption monitoring.,2017-10-24,AlphaCrest Property Support,61961
257,ITQ20170256,ITQ,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2017-10-25,SkyHigh Property Management,93152
258,ITQ20170257,ITQ,National Cybersecurity Task Force,Health and safety compliance management and training.,2017-10-27,SwiftSail Building Solutions,97788
259,ITQ20170258,ITQ,Department of Advanced Technological Research,Renovation and remodeling project management.,2017-10-28,EverGreen Property Support,62589
260,ITQ20170259,ITQ,Commission for Ethical Governance,Waste management and recycling program implementation.,2017-10-29,SafeHaven Maintenance,38674
261,ITQ20170260,ITQ,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,2017-10-30,FreshWave Property Support,71778
262,SVP20170261,SVP,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2017-11-01,StarStone Facility Services,9072
263,ITQ20170262,ITQ,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,2017-11-07,TruePro Building Experts,21371
264,ITQ20170263,ITQ,Bureau of National Security and Intelligence,Expert landscaping and groundskeeping solutions.,2017-11-09,Xtreme Maintenance,35217
265,ITQ20170264,ITQ,Institute for Social Justice and Equality,Renovation and remodeling project management.,2017-11-09,GoldenTech Maintenance,43789
266,ITQ20170265,ITQ,Agency for Cultural Preservation and Heritage,Parking management and traffic control solutions.,2017-11-12,TrueView Management,17672
267,ITQ20170266,ITQ,Federal Agency for Environmental Protection,Waste management and recycling program implementation.,2017-11-12,GreenEdge Facility Masters,88606
268,ITQ20170267,ITQ,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2017-11-13,GoldenGate Facility Masters,49294
269,ITQ20170268,ITQ,Federal Agency for Environmental Protection,Emergency response and disaster recovery planning.,2017-11-14,GreenLine Building Experts,41145
270,ITQ20170269,ITQ,National Commission for Space Exploration,Parking management and traffic control solutions.,2017-11-18,SecurePrime Management,52247
271,ITQ20170270,ITQ,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,2017-11-21,StarStone Facility Services,11939
272,ITQ20170271,ITQ,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,2017-11-21,SafeEdge Property Care,70641
273,ITQ20170272,ITQ,Agency for Cultural Preservation and Heritage,Cleaning supplies and consumables procurement and management.,2017-11-21,ApexGuard Facility Services,95077
274,ITQ20170273,ITQ,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,2017-11-24,SkyHigh Property Management,12666
275,ITQ20170274,ITQ,National Cybersecurity Task Force,Pest control services for a pest-free environment.,2017-11-25,StarHarbor Facilities Group,92847
276,ITQ20170275,ITQ,Bureau of Urban Development and Infrastructure,Energy-efficient lighting installation and maintenance.,2017-11-26,GrandTech Building Solutions,51881
277,ITQ20170276,ITQ,Federal Agency for Environmental Protection,Energy-efficient systems and consumption monitoring.,2017-11-27,AlphaPro Facility Solutions,38497
278,ITQ20170277,ITQ,Office of International Relations and Diplomatic Affairs,Health and safety compliance management and training.,2017-11-27,TrustGuard Facilities,77972
279,ITQ20170278,ITQ,Office of Public Safety and Emergency Management,Space planning and utilization optimization strategies.,2017-11-29,SafeReach Property Solutions,27128
280,ITQ20170279,ITQ,National Commission for Space Exploration,Furniture and equipment maintenance and inventory tracking.,2017-11-29,SecureSpace Management,56454
281,ITQ20170280,ITQ,National Commission for Space Exploration,Parking management and traffic control solutions.,2017-11-29,ApexGuard Facility Services,73743
